property,n_external,n_ic50_train,ks_stat,ks_pvalue,external_mean,ic50_train_mean
MW,848,2695,0.1990561662057619,7.537021767005758e-23,438.97184316037743,500.9431914656773
LogP,848,2695,0.18359383204396681,1.7443937035546962e-19,4.099141745283022,4.71949202597403
TPSA,848,2695,0.14094890958098505,1.2141131210943076e-11,97.97081367924528,109.2779146567718
